... building the model
... training
p=0.700000
epoch 303, minibatch 3296/3296, validation error 14.030055 %
epoch 304, minibatch 3296/3296, validation error 14.002732 %
epoch 305, minibatch 3296/3296, validation error 14.139344 %
epoch 306, minibatch 3296/3296, validation error 14.617486 %
epoch 307, minibatch 3296/3296, validation error 14.617486 %
epoch 308, minibatch 3296/3296, validation error 14.262295 %
epoch 309, minibatch 3296/3296, validation error 14.494536 %
epoch 310, minibatch 3296/3296, validation error 14.234973 %
epoch 311, minibatch 3296/3296, validation error 14.098361 %
epoch 312, minibatch 3296/3296, validation error 14.125683 %
epoch 313, minibatch 3296/3296, validation error 13.920765 %
epoch 314, minibatch 3296/3296, validation error 14.112022 %
epoch 315, minibatch 3296/3296, validation error 14.180328 %
epoch 316, minibatch 3296/3296, validation error 14.590164 %
epoch 317, minibatch 3296/3296, validation error 14.112022 %
epoch 318, minibatch 3296/3296, validation error 14.535519 %
epoch 319, minibatch 3296/3296, validation error 14.412568 %
epoch 320, minibatch 3296/3296, validation error 13.838798 %
epoch 321, minibatch 3296/3296, validation error 14.221311 %
epoch 322, minibatch 3296/3296, validation error 14.002732 %
epoch 323, minibatch 3296/3296, validation error 14.316940 %
epoch 324, minibatch 3296/3296, validation error 14.330601 %
epoch 325, minibatch 3296/3296, validation error 14.685792 %
epoch 326, minibatch 3296/3296, validation error 14.193989 %
epoch 327, minibatch 3296/3296, validation error 13.715847 %
epoch 328, minibatch 3296/3296, validation error 13.934426 %
epoch 329, minibatch 3296/3296, validation error 14.098361 %
epoch 330, minibatch 3296/3296, validation error 13.879781 %
epoch 331, minibatch 3296/3296, validation error 14.535519 %
epoch 332, minibatch 3296/3296, validation error 14.180328 %
epoch 333, minibatch 3296/3296, validation error 13.989071 %
epoch 334, minibatch 3296/3296, validation error 14.180328 %
epoch 335, minibatch 3296/3296, validation error 13.989071 %
epoch 336, minibatch 3296/3296, validation error 13.893443 %
epoch 337, minibatch 3296/3296, validation error 13.770492 %
epoch 338, minibatch 3296/3296, validation error 14.453552 %
epoch 339, minibatch 3296/3296, validation error 14.030055 %
epoch 340, minibatch 3296/3296, validation error 14.207650 %
epoch 341, minibatch 3296/3296, validation error 13.743169 %
epoch 342, minibatch 3296/3296, validation error 13.620219 %
     epoch 342, minibatch 3296/3296, test error of best model 14.919293 %
epoch 343, minibatch 3296/3296, validation error 13.961749 %
epoch 344, minibatch 3296/3296, validation error 13.784153 %
epoch 345, minibatch 3296/3296, validation error 13.538251 %
     epoch 345, minibatch 3296/3296, test error of best model 15.019216 %
epoch 346, minibatch 3296/3296, validation error 14.084699 %
epoch 347, minibatch 3296/3296, validation error 14.193989 %
epoch 348, minibatch 3296/3296, validation error 13.715847 %
epoch 349, minibatch 3296/3296, validation error 13.838798 %
epoch 350, minibatch 3296/3296, validation error 14.330601 %
epoch 351, minibatch 3296/3296, validation error 13.961749 %
epoch 352, minibatch 3296/3296, validation error 14.180328 %
epoch 353, minibatch 3296/3296, validation error 14.371585 %
epoch 354, minibatch 3296/3296, validation error 14.193989 %
epoch 355, minibatch 3296/3296, validation error 13.715847 %
epoch 356, minibatch 3296/3296, validation error 14.262295 %
epoch 357, minibatch 3296/3296, validation error 14.153005 %
epoch 358, minibatch 3296/3296, validation error 13.524590 %
     epoch 358, minibatch 3296/3296, test error of best model 14.950038 %
epoch 359, minibatch 3296/3296, validation error 13.415301 %
     epoch 359, minibatch 3296/3296, test error of best model 14.923136 %
epoch 360, minibatch 3296/3296, validation error 14.112022 %
epoch 361, minibatch 3296/3296, validation error 14.207650 %
epoch 362, minibatch 3296/3296, validation error 13.975410 %
epoch 363, minibatch 3296/3296, validation error 14.521858 %
epoch 364, minibatch 3296/3296, validation error 13.811475 %
epoch 365, minibatch 3296/3296, validation error 13.893443 %
epoch 366, minibatch 3296/3296, validation error 13.715847 %
epoch 367, minibatch 3296/3296, validation error 13.852459 %
epoch 368, minibatch 3296/3296, validation error 14.139344 %
epoch 369, minibatch 3296/3296, validation error 13.702186 %
epoch 370, minibatch 3296/3296, validation error 14.043716 %
epoch 371, minibatch 3296/3296, validation error 13.866120 %
epoch 372, minibatch 3296/3296, validation error 14.084699 %
epoch 373, minibatch 3296/3296, validation error 13.688525 %
epoch 374, minibatch 3296/3296, validation error 14.002732 %
epoch 375, minibatch 3296/3296, validation error 13.647541 %
epoch 376, minibatch 3296/3296, validation error 13.251366 %
     epoch 376, minibatch 3296/3296, test error of best model 14.704074 %
epoch 377, minibatch 3296/3296, validation error 13.756831 %
epoch 378, minibatch 3296/3296, validation error 13.893443 %
epoch 379, minibatch 3296/3296, validation error 13.415301 %
epoch 380, minibatch 3296/3296, validation error 13.661202 %
epoch 381, minibatch 3296/3296, validation error 14.139344 %
epoch 382, minibatch 3296/3296, validation error 14.016393 %
epoch 383, minibatch 3296/3296, validation error 14.112022 %
epoch 384, minibatch 3296/3296, validation error 13.838798 %
epoch 385, minibatch 3296/3296, validation error 13.715847 %
epoch 386, minibatch 3296/3296, validation error 13.702186 %
epoch 387, minibatch 3296/3296, validation error 13.483607 %
epoch 388, minibatch 3296/3296, validation error 13.702186 %
epoch 389, minibatch 3296/3296, validation error 14.112022 %
epoch 390, minibatch 3296/3296, validation error 13.524590 %
epoch 391, minibatch 3296/3296, validation error 14.439891 %
epoch 392, minibatch 3296/3296, validation error 13.469945 %
epoch 393, minibatch 3296/3296, validation error 13.797814 %
epoch 394, minibatch 3296/3296, validation error 13.674863 %
epoch 395, minibatch 3296/3296, validation error 13.510929 %
epoch 396, minibatch 3296/3296, validation error 13.879781 %
epoch 397, minibatch 3296/3296, validation error 14.344262 %
epoch 398, minibatch 3296/3296, validation error 13.743169 %
epoch 399, minibatch 3296/3296, validation error 14.180328 %
epoch 400, minibatch 3296/3296, validation error 13.907104 %
epoch 401, minibatch 3296/3296, validation error 13.948087 %
epoch 402, minibatch 3296/3296, validation error 13.729508 %
epoch 403, minibatch 3296/3296, validation error 13.756831 %
epoch 404, minibatch 3296/3296, validation error 13.852459 %
